Year,Acura,Alfa Romeo,Aston Martin,Audi,Bentley,BMW,Buick,Cadillac,Chevrolet,Chrysler,Daewoo,Dodge,Ferrari,Fiat,Ford,Genesis,GMC,Honda,Hyundai,INFINITI,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Land Rover,Lexus,Lincoln,Lotus,Maserati,Mazda,Mercedes-Benz,Mercury,MINI,Mitsubishi,Nissan,Oldsmobile,Plymouth,Pontiac,Porsche,RAM,Rolls-Royce,Saturn,Scion,smart,Subaru,Suzuki,Tesla,Toyota,Volkswagen,Volvo
2000,142681,0,0,80372,0,189423,339445,189154,2615884,484297,0,1505669,1200,0,3457996,0,528639,1016179,244391,78351,104485,43728,495434,160606,0,33435,206037,193009,0,0,255526,206190,359143,0,316496,0,289172,87246,613548,22205,0,0,39479,0,0,172218,60845,0,1413169,355479,123178
2001,170469,0,302,83283,0,213127,405678,172083,2689954,530454,0,1285817,1140,0,3294190,0,554753,1037170,346235,71365,84476,44532,455417,223721,36,32975,223983,158934,120,0,269602,206718,311787,0,323706,0,233745,31574,533402,23789,0,0,37556,0,0,185944,64698,0,1517271,356405,125710
2002,165552,0,487,85726,0,256622,432017,199946,2642786,480263,0,1264765,1204,0,2990472,0,560868,1082282,375119,87911,57135,61204,459796,237345,133,49536,234109,150057,108,853,258213,215632,263200,24590,345915,0,155112,0,516832,25186,0,0,37805,0,0,180016,67855,0,1522018,338125,110670
2003,170918,0,519,35378,437,240859,336788,216090,2641586,463590,0,1806599,1312,0,2886575,0,563479,1178929,400221,118655,30328,54655,440559,237471,425,51121,259755,158839,96,917,258865,218551,202257,36010,256810,74301,125897,0,475615,33776,0,149,47914,10898,0,186819,58438,0,1595660,302686,134586
2004,198919,0,469,30749,2394,260079,309639,234217,2748365,588891,66174,1739209,1176,0,2766025,0,581684,1195479,418615,130986,27188,45875,427239,270055,653,49052,287927,139016,679,1055,263882,221366,193534,36032,161609,72634,28851,0,474179,39613,0,420,38159,99259,0,187402,73946,0,1672862,256111,139067
2005,209610,0,492,83066,3654,266200,282288,235002,2651124,649293,28420,1703585,1420,0,2634041,0,537572,1252862,455012,136401,12177,30424,476532,275851,671,70046,302895,123207,2417,2018,258339,224269,195949,40820,123995,165788,1866,0,437806,44977,0,382,36071,156485,0,196002,82101,0,1800915,224195,123587
2006,201223,0,443,80113,3856,274432,240657,227014,2396532,604874,40939,1539815,1513,0,2415059,0,456565,1308135,455520,121146,8614,20683,460052,294302,876,78575,322434,120476,2522,2108,268786,247934,180848,39171,118558,243106,96,0,410229,44623,0,336,30560,173034,0,200703,100990,0,2047057,235140,115807
2007,180104,0,2058,93506,3990,293795,185791,214726,2250352,543011,76279,1483229,1761,0,2087048,0,484932,1371438,467009,127038,7098,15683,475237,305473,984,78855,329177,131487,2604,2540,296110,253277,168422,42045,128993,286025,0,0,358022,45707,0,425,32711,130181,0,187208,101884,0,2161467,230572,106213
2008,144504,0,1600,87760,2693,249113,137197,161159,1790519,335108,106760,1070597,1700,0,1680321,0,361739,1284261,401742,112989,4758,14824,333901,273397,741,49779,260087,107295,2160,2509,263949,225009,120248,54077,97257,327359,0,0,267348,36063,0,447,21368,113904,24622,187699,84865,0,1843669,223128,73102
2009,105723,0,1140,82716,1367,196502,102306,109092,1338612,177015,242419,522686,1467,0,1440653,0,253053,1045061,435064,81089,165,11955,231701,300063,353,44982,215975,82847,720,1273,207767,190538,92299,45225,53986,508814,0,0,178300,33407,0,326,8680,57961,14595,216652,38689,0,1496211,213454,61435
2010,133606,0,840,101629,1430,220113,155389,146925,1563881,197446,268415,383675,1547,0,1752511,0,333204,1096874,538228,103411,0,13340,291138,366268,290,52957,229329,85828,220,1897,229566,224944,93195,45644,55683,681360,0,0,1182,37504,212952,512,5445,45678,5927,263820,23994,0,1488588,256830,53948
2011,123299,0,804,117561,1877,247907,177633,152389,1775802,221346,254617,451732,1701,19769,2057210,0,397973,1023986,645691,98461,0,12276,419349,485492,340,65437,198552,85643,230,2321,250426,261769,0,57511,79020,832101,0,0,0,42228,257610,362,5610,49271,5208,266989,26618,0,1396837,324402,67240
2012,156216,0,816,139310,2315,281460,180408,149782,1851646,307967,237956,532064,1764,43772,2160859,0,413881,1266569,703007,119877,0,12011,474131,557599,410,76899,244162,82150,242,2765,277050,294993,0,66123,57790,751509,0,0,0,45549,300928,382,0,73501,10009,336441,25357,0,1764802,438134,68117
2013,165436,0,828,158061,2841,309280,205509,182543,1947125,302492,290078,605243,1944,43236,2403542,0,450901,1359876,720783,116455,0,16952,490454,535179,552,89612,273847,81694,264,4768,283946,334324,0,66502,62227,842847,0,0,0,44423,367843,962,0,68321,9264,424683,5432,0,1893874,407704,61233
2014,167843,91,1160,182011,3003,339738,228963,170750,2033442,308785,362520,585466,2110,46121,2376841,0,501853,1373029,725718,117330,0,15773,692348,580234,736,94632,311389,94474,140,12942,305801,356134,0,56112,77643,859490,0,0,0,54004,469139,1111,0,58009,10453,513693,0,16689,2004373,366970,56366
2015,177165,663,1020,202202,2686,346023,223055,175267,2125347,324846,376324,517153,2124,42410,2501855,0,558697,1409386,761710,133498,0,14466,865028,625818,756,124445,344601,101227,80,11697,319183,372977,0,58514,95342,891361,0,0,0,68270,493807,1140,0,56167,7484,582675,0,25416,2098545,349440,70047
2016,161360,528,0,210213,2581,313174,229631,170006,2096508,239492,412284,506453,2326,33777,2487487,6948,546628,1476582,768057,138293,0,31243,929446,647598,1033,122701,331228,111724,0,12534,297773,374540,0,52030,96267,1015605,0,0,0,69119,542884,1015,0,12027,6211,615132,0,47644,2106332,322948,82593
2017,154602,12031,0,226511,2405,305685,219231,156440,2065879,188545,460891,446994,2518,26492,2464041,20612,560687,1486827,664943,153415,0,39594,828522,589668,1095,128893,305229,111159,0,13711,289470,372240,0,47102,103686,1118085,0,0,0,72834,556790,1373,0,51158,3071,647956,0,50145,2129177,339676,81507
2018,158934,23800,0,223323,0,311014,206863,154702,2036023,165964,522793,459324,0,15521,2381635,10312,556449,1445894,667634,149280,0,30483,973227,589673,0,162409,298302,103587,0,0,300325,354144,0,43684,118074,1177705,0,0,0,68352,597368,326,0,0,1276,680135,0,191627,2128201,354064,98263
2019,157385,18292,0,224111,0,324826,206929,156246,1958783,126971,576450,422886,0,9200,2293984,21233,564946,1450785,688771,117708,0,31051,923291,615338,0,167951,298114,112204,0,0,278552,357729,0,36092,121046,1174030,0,0,0,78078,703023,0,0,0,680,700117,0,192250,2085186,363322,108234
2020,136982,18586,0,186963,0,278732,162741,129495,1740882,110464,0,267328,0,4303,1929298,16384,515311,1209805,622269,79502,0,21786,795313,586105,0,137398,275040,105410,0,0,279076,325915,0,28138,87772,1121061,0,0,0,73840,624641,0,0,0,0,611938,0,235000,1837885,326911,110129
